time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate
1,5,-1.0557851071428572,351,2048,72.0,,,,,,,,,,
2,5,-1.0173149107142856,716,4096,72.0,0.042122565,-1.1920928955078125e-07,-0.08597963328647892,-7.262343932688236,0.61015625,-0.1621181219816208,0.2,0.008175194958312204,350,0.0003
3,5,-1.016931835294118,1094,6144,72.0,0.03898882,0.0,-0.07546112977724988,-7.208751094341278,0.589501953125,-0.16581492125988007,0.2,0.004263229494608822,360,0.0003
4,5,-1.03430278,1470,8192,72.0,0.036954336,1.1920928955078125e-07,-0.07480917411157861,-7.173327207565308,0.56240234375,-0.14059823751449585,0.2,0.004968087447923608,370,0.0003
5,5,-1.02658628,1824,10240,72.0,0.037852358,0.0,-0.07663140789663885,-7.157292331755161,0.5630859375,-0.17482060194015503,0.2,0.004716896943500614,380,0.0003
6,5,-1.0224776500000001,2165,12288,72.0,0.03982396,-1.1920928955078125e-07,-0.07565342940506525,-7.087051320075989,0.567529296875,-0.14329637587070465,0.2,0.005761791659460868,390,0.0003
7,5,-1.00968694,2508,14336,72.0,0.040367402,0.0,-0.07635648337600287,-7.078529767692089,0.576123046875,-0.1480589658021927,0.2,0.005413038354890887,400,0.0003
8,5,-0.9924450999999999,2871,16384,72.0,0.036910273,0.0,-0.0711650771118002,-7.017124670743942,0.56181640625,-0.14220625162124634,0.2,0.004425247566177859,410,0.0003
9,5,-0.96237095,3211,18432,72.0,0.036941513,0.0,-0.06641056591761299,-6.989588609337806,0.549755859375,-0.15944674611091614,0.2,0.004373569420567947,420,0.0003
10,5,-0.9427015199999998,3582,20480,72.0,0.03896516,0.0,-0.07148563976516016,-6.984033362567425,0.55673828125,-0.11433910578489304,0.2,0.0038886368696694263,430,0.0003
11,5,-0.93642935,3950,22528,72.0,0.03739386,1.1920928955078125e-07,-0.0704471946140984,-6.977002643048763,0.558544921875,-0.13909246027469635,0.2,0.003928786634787684,440,0.0003
12,5,-0.9501551999999998,4320,24576,72.0,0.036564816,0.0,-0.07158208024484339,-6.963053819537163,0.52919921875,-0.15975598990917206,0.2,0.00433432039753825,450,0.0003
13,5,-0.95139189,4678,26624,72.0,0.036016844,-1.1920928955078125e-07,-0.06384299035416915,-6.98038472533226,0.530322265625,-0.1487848162651062,0.2,0.0043795327057523535,460,0.0003
14,5,-0.95407837,5032,28672,72.0,0.037516735,0.0,-0.06911232519778424,-6.9200743064284325,0.53857421875,-0.13244225084781647,0.2,0.0032376377057516947,470,0.0003
15,5,-0.95248445,5387,30720,72.0,0.03552654,0.0,-0.0656942748115398,-6.89060729444027,0.53017578125,-0.14847205579280853,0.2,0.0047304097835876744,480,0.0003
16,5,-0.9609416799999998,5761,32768,72.0,0.03503655,1.1920928955078125e-07,-0.0693216782528907,-6.859020434319973,0.531298828125,-0.13665829598903656,0.2,0.003995020749789547,490,0.0003
17,5,-0.9738813000000001,6153,34816,72.0,0.037881866,0.0,-0.0669088532566093,-6.786621491611004,0.52529296875,-0.13224492967128754,0.2,0.004620165320011438,500,0.0003
18,5,-0.9775707400000002,6541,36864,72.0,0.035051886,0.0,-0.06370619954250287,-6.777405367791653,0.541015625,-0.1350882351398468,0.2,0.0056666162425244694,510,0.0003
19,5,-0.95671083,6915,38912,72.0,0.033585984,0.0,-0.06377986133447848,-6.748371970653534,0.502978515625,-0.16160231828689575,0.2,0.004275921141743311,520,0.0003
